Year	No. of records with a forename	No. of male/mostly male forename records	No. of female/mostly female forename records	No. of gender-undetermined forename records	% of records with a male/mostly male forename	% of records with a female/mostly female forename	% of records with a gender-undetermined forename	Gender ratio of (male+mostly male)/(female + mostly female) forename records	No. of records with a middle name	Avg. no. of middle names per record (for records with >=1 middle name)	No. of different forenames seen	Forename diversity (i.e., ratio of the no. of different forenames to the total no. of records per year)	% of this year's forenames not used in the previous year	Most popular forename (% of records)	Second most popular forename (% of records)	Third most popular forename (% of records)	Fourth most popular forename (% of records)	Fifth most popular forename (% of records)	Most popular middle name (% of records)	Second most popular middle name (% of records)	Third most popular middle name (% of records)	Fourth most popular middle name (% of records)	Fifth most popular middle name (% of records)
1733	4	2	2	0	50.000	50.000	0.000	1.000	0	0.000	4	1.000	NA	Susan (25.000%)	John (25.000%)	Mary (25.000%)	Robert (25.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1734	4	2	2	0	50.000	50.000	0.000	1.000	0	0.000	4	1.000	50.000	Thomas (25.000%)	John (25.000%)	Mary (25.000%)	Elizabeth (25.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1736	5	1	4	0	20.000	80.000	0.000	0.250	0	0.000	4	0.800	NA	Mary (40.000%)	Joanna (20.000%)	Evan (20.000%)	Ellen (20.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1737	7	1	6	0	14.286	85.714	0.000	0.167	0	0.000	6	0.857	100.000	Elizabeth (28.571%)	Lydia (14.286%)	Ann (14.286%)	Susannah (14.286%)	Bridget (14.286%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1738	6	2	4	0	33.333	66.667	0.000	0.500	0	0.000	6	1.000	66.667	Gilbert (16.667%)	Hannah (16.667%)	Betty (16.667%)	Ann (16.667%)	Mary (16.667%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1739	15	8	7	0	53.333	46.667	0.000	1.143	0	0.000	10	0.667	80.000	John (20.000%)	Elizabeth (13.333%)	Sarah (13.333%)	William (13.333%)	Jane (6.667%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1740	25	8	17	0	32.000	68.000	0.000	0.471	0	0.000	20	0.800	70.000	Ann (12.000%)	Mary (8.000%)	Margaret (8.000%)	John (8.000%)	Jane (4.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1741	25	11	13	1	44.000	52.000	4.000	0.846	0	0.000	17	0.680	64.706	Mary (12.000%)	Alice (12.000%)	Betty (8.000%)	Ann (8.000%)	Samuel (8.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1742	50	17	33	0	34.000	66.000	0.000	0.515	2	1.000	20	0.400	75.000	Elizabeth (16.000%)	Mary (12.000%)	Ann (10.000%)	John (10.000%)	Sarah (8.000%)	Battersby (50.000%)	W (50.000%)	NA (NA%)	NA (NA%)	NA (NA%)
1743	67	26	41	0	38.806	61.194	0.000	0.634	0	0.000	26	0.388	57.692	Mary (17.910%)	Elizabeth (10.448%)	Thomas (8.955%)	Jane (5.970%)	Ann (5.970%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1744	84	38	46	0	45.238	54.762	0.000	0.826	1	1.000	31	0.369	45.161	John (15.476%)	Mary (13.095%)	Elizabeth (7.143%)	James (7.143%)	Thomas (4.762%)	Mills (100.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1745	114	53	61	0	46.491	53.509	0.000	0.869	0	0.000	34	0.298	50.000	Elizabeth (8.772%)	Mary (8.772%)	William (7.895%)	James (7.895%)	Ann (7.895%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1746	125	61	64	0	48.800	51.200	0.000	0.953	1	1.000	42	0.336	50.000	Mary (11.200%)	William (8.800%)	Thomas (7.200%)	James (6.400%)	Sarah (6.400%)	Allcock (100.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1747	163	68	93	2	41.718	57.055	1.227	0.731	1	1.000	45	0.276	51.111	Mary (12.883%)	John (11.043%)	Ann (8.589%)	James (6.135%)	Thomas (6.135%)	Gardiner (100.000%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1748	245	107	138	0	43.673	56.327	0.000	0.775	0	0.000	63	0.257	55.556	Mary (15.918%)	William (7.755%)	John (7.347%)	Sarah (6.122%)	Elizabeth (5.714%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)	NA (NA%)
1749	305	141	163	1	46.230	53.443	0.328	0.865	6	1.000	68	0.223	36.765	John (14.754%)	Mary (12.787%)	Thomas (6.885%)	Ann (5.902%)	Elizabeth (5.574%)	S (16.667%)	Anne (16.667%)	Grant (16.667%)	Alders (16.667%)	Maria (16.667%)
