Aaaron	Aaron
Aabraham	Abraham
Aadam	Adam
Aagnes	Agnes
Aahleigh	Ashleigh
Aahley	Ashley
Aainsworth	Ainsworth
Aalbert	Albert
Aalexander	Alexander
Aalfred	Alfred
Aalice	Alice
Aamanda	Amanda
Aambrose	Ambrose
Aamy	Amy
Aan	Ann
Aanastatia	Anastatia
Aanderson	Anderson
Aandrea	Andrea
Aandrew	Andrew
Aandrzej	Andrzej
Aangela	Angela
Aann	Ann
Aannah	Annah
Aanne	Anne
Aannette	Annette
Aannie	Annie
Aanthony	Anthony
Aanton	Anton
Aantony	Antony
Aarabella	Arabella
Aargaret	Margaret
Aarmstead	Armstead
Aarmstrong	Armstrong
Aarnold	Arnold
Aarthur	Arthur
Aathony	Anthony
Abert	Albert
Achibald	Archibald
Adele'	Adele
Adndrew	Andrew
Adniel	Daniel
Afred	Alfred
Agns	Agnes
Agustus	Augustus
Aice	Alice
Alcie	Alice
Aleander	Alexander
Alex'r	Alexander
Alexanderg	Alexander
Alexanderj	Alexander
Alfrd	Alfred
Aliastair	Alistair
Aliaster	Alister
Amnie	Annie
Amrgaret	Margaret
Anastatia	Anastasia
Andre'	Andre
Andree	Andrew
Andreea	Andrea
Anexandra	Alexandra
Anngela	Angela
Annna	Anna
Annne	Anne
Annne	Anne
Annnice	Annice
Annnie	Annie
Annny	Anny
Anold	Arnold
Anthiny	Anthony
Anthoney	Anthony
Archiblad	Archibald
Arhtur	Arthur
Arhur	Arthur
Arthue	Arthur
Aseneth	Asenath
Ashleyr	Ashley
Athur	Arthur
Aurther	Arthur
Aurthur	Arthur
Avvverella	Averella
Baeatrice	Beatrice
Banjamin	Benjamin
Barabara	Barbara
Bartholamew	Bartholomew
Batrice	Beatrice
Bbarker	Barker
Bbeau	Beau
Bbegum	Begum
Bbenton	Benton
Bbernard	Bernard
Bbernetta	Bernetta
Bbertenshaw	Bertenshaw
Bbickernough	Bickernough
Bblanche	Blanche
Bbond	Bond
Bbradshaw	Bradshaw
Bbradshawe	Bradshawe
Bbrammer	Brammer
Bbrian	Brian
Bbrown	Brown
Bbrownsword	Brownsword
Bbruce	Bruce
Bbryan	Bryan
Beartrice	Beatrice
Beatric	Beatrice
Benajamin	Benjamin
Benajmin	Benjamin
Benediict	Benedict
Benjain	Benjamin
Benjamen	Benjamin
Benjaminn	Benjamin
Benjamln	Benjamin
Benjamon	Benjamin
Benjanin	Benjamin
Benjemin	Benjamin
Benjiamin	Benjamin
Benjimin	Benjamin
Benneth	Kenneth
Benyamin	Benjamin
Beratrice	Beatrice
Bertramc	Bertram
Betram	Bertram
Betrice	Beatrice
Birgitte	Brigitte
Bnanjamin	Benjamin
Bnejamnin	Benjamin
Boadecia	Boadicea
Brdget	Bridget
Bridgeta	Bridget
Brittannia	Britannia
Byrom	Byron
Cadwaleder	Cadwalader
Caeser	Caesar
Cahrles	Charles
Cahterine	Catherine
Carherine	Catherine
Carline	Caroline
Carolin	Caroline
Carroline	Caroline
