Year	No. of records with a forename	No. of male/mostly male forename records	No. of female/mostly female forename records	No. of gender-undetermined forename records	% of records with a male/mostly male forename	% of records with a female/mostly female forename	% of records with a gender-undetermined forename	Gender ratio of (male+mostly male)/(female + mostly female) forename records	No. of records with a middle name	Avg. no. of middle names per record (for records with >=1 middle name)	No. of different forenames seen	Forename diversity (i.e., ratio of the no. of different forenames to the total no. of records per year)	% of this year's forenames not used in the previous year	Most popular forename (% of records)	Second most popular forename (% of records)	Third most popular forename (% of records)	Fourth most popular forename (% of records)	Fifth most popular forename (% of records)	Most popular middle name (% of records)	Second most popular middle name (% of records)	Third most popular middle name (% of records)	Fourth most popular middle name (% of records)	Fifth most popular middle name (% of records)
1837	44785	22735	21780	270	50.765	48.632	0.603	1.044	6400	1.027	1107	0.025	NA	Mary (8.355%)	John (7.985%)	William (7.342%)	Thomas (5.379%)	Elizabeth (5.290%)	Ann (17.532%)	A (11.505%)	Jane (3.470%)	J (3.257%)	H (3.165%)
1838	124322	63264	60335	723	50.887	48.531	0.582	1.049	16997	1.025	2062	0.017	66.925	Mary (8.428%)	John (8.280%)	William (7.143%)	Thomas (5.339%)	Elizabeth (5.285%)	Ann (17.902%)	A (11.654%)	J (4.292%)	Jane (3.552%)	H (3.133%)
1839	130311	66157	63423	731	50.769	48.670	0.561	1.043	18744	1.024	2079	0.016	51.419	Mary (8.381%)	John (8.291%)	William (7.128%)	Elizabeth (5.354%)	Thomas (5.281%)	Ann (18.535%)	A (11.040%)	J (4.003%)	Jane (3.998%)	E (3.148%)
1840	130805	66523	63537	745	50.857	48.574	0.570	1.047	19880	1.027	2121	0.016	54.314	Mary (8.267%)	John (8.202%)	William (7.070%)	Thomas (5.283%)	Elizabeth (5.259%)	Ann (18.002%)	A (10.963%)	Jane (4.066%)	J (4.041%)	E (3.164%)
1841	131243	66923	63605	715	50.992	48.464	0.545	1.052	21246	1.029	2083	0.016	51.992	Mary (8.253%)	John (8.141%)	William (7.096%)	Thomas (5.292%)	Elizabeth (5.251%)	Ann (16.900%)	A (10.517%)	Jane (4.207%)	J (4.134%)	E (3.416%)
1842	129962	66007	63158	797	50.789	48.597	0.613	1.045	21479	1.027	2128	0.016	52.820	Mary (8.349%)	John (8.053%)	William (7.127%)	Elizabeth (5.219%)	Thomas (5.167%)	Ann (17.595%)	A (9.758%)	Jane (4.610%)	J (3.676%)	Henry (3.413%)
1843	131838	67176	63969	693	50.953	48.521	0.526	1.050	22706	1.027	2117	0.016	51.110	Mary (8.284%)	John (8.065%)	William (7.154%)	Thomas (5.198%)	Elizabeth (5.071%)	Ann (17.996%)	A (9.071%)	Jane (4.900%)	J (4.008%)	Henry (3.725%)
1844	137965	70194	66986	785	50.878	48.553	0.569	1.048	24374	1.025	2176	0.016	51.930	Mary (8.264%)	John (7.943%)	William (7.108%)	Elizabeth (5.206%)	Thomas (5.073%)	Ann (17.634%)	A (8.891%)	Jane (5.056%)	Henry (4.087%)	J (3.787%)
1845	138389	70106	67550	733	50.659	48.812	0.530	1.038	26042	1.026	2168	0.016	50.923	Mary (8.534%)	John (7.959%)	William (7.004%)	Thomas (5.115%)	Elizabeth (5.105%)	Ann (17.582%)	A (8.972%)	Jane (5.158%)	J (4.118%)	Henry (4.005%)
1846	146722	74668	71246	808	50.891	48.558	0.551	1.048	28536	1.026	2276	0.016	52.592	Mary (8.307%)	John (8.008%)	William (7.123%)	Elizabeth (5.123%)	Thomas (5.071%)	Ann (16.880%)	A (8.930%)	Jane (5.353%)	Henry (4.151%)	J (4.089%)
